脸红仆仆@成长@苹果的脸红仆仆的，像在诉说着自己的成长	果园里，
爱@香水@爱像香水	擦多了刺鼻，抹少了会被汗水遮盖住。
落叶@蝴蝶@一片片落叶像蝴蝶一样翩翩起舞	树木变得苍老，无精打采的。
恋爱@VCD@恋爱就像VCD	盗版总是比正版流行。
记忆@笔@记忆像一只笔没有颜色	确有着清楚的字体。
羊群@白云@草原上的羊群像蓝天上的漂着的朵朵白云	那么无忧无虑，那么闲适。
春天@手@春天像母亲的手抚摸你	温暖而柔和。
秋天@淑女@秋天好像个迷人的淑女	披着金黄的旗袍，在散步着。
吼声@百门@河水发出巨吼吼声像百门火炮在齐射轰鸣也像整群恶狼	在放声悲曝。
朋友@细雨@朋友是春天的细雨	当你伤心时为你落泪。
爱心@春水@爱心如一股撞开冰闸的春水	使铁石心肠受到震撼。
向日葵@战士@向日葵像一个刚毅的战士	笔挺的站立着目视前方。
好@泪痕@烦恼好像残烛的泪痕	愈积愈深。
桃花@胭脂@那盛开的桃花像是一片片胭脂染着富饶的春之山河像是一团团云霞	映着充满生机的大地。
成功@彩虹@成功是彩虹	风雨后才会出现。
女孩@红苹果@在凛冽寒风中一个上学的小女孩，就像一个红苹果	两边的脸蛋被冻的红红的。
墨绿色@感觉@苦瓜的叶子是墨绿色的，就像是隔着纱窗看着外面绿色草地的感觉	一种很朦胧的绿色。
石钟乳@猴子@石钟乳像猴子摘桃	洞内，
风@双手@夏天的风，像妈妈亲切的双手	包含着温情除去了尘世间的一切焦躁。
心头@有@心头像有千百个蚂蚁爬过	我觉得脸上热辣辣的，手心里透出一片冷汗，
茧@靠子@蚕织成了一个椭圆形的茧，就像一座没有门窗的小靠子	蚕就安安稳稳地睡在茧里。
困难@阶梯@困难是成功的阶梯	战胜它，就可以收获成功。
爱心@歌谣@爱心是一曲回荡在耳边的歌谣	使孤独的人们感到人间的温暧。
胡子@毛@爸爸的胡子又粗又硬像刷子上的毛	扎在我脸上又痒义疼。
春天@小姑娘@春天像小姑娘	花枝招展的，笑着、走着。
感恩@小伞@感恩是一柄撑起在雨夜的小伞	使漂泊异乡的人得到亲情的荫庇。
学校@警钟@学校是一个警钟	在我骄傲时为我敲响。
队伍@长龙@游乐园门口的队伍像一条长龙	蜿蜒曲折无尽头。
铁路@仪仗队@白杨生长在铁路两侧，如两行队列整齐的仪仗队	欢迎一趟趟列车的到来。
生活@房子@生活像一栋你生活的大房子	它可能空虚无物，它也可能被你布置的丰富多彩。
爱情@一样@爱情就像等公交一样	你等的那趟还没来，你不想等的接二连三。
玫瑰花@超市@玫瑰花像家门口超市那位大哥哥	总是热情地微笑着。
春风@妈妈@春风像妈妈一样操劳	没有她，哪来大地的一片生机呢。
海豚@精灵@海豚是降落人间的精灵	海豚是来自大自然的使者。
白鸽子@碧海@一群白鸽子飞过，像碧海中一片片小帆船	蓝天中，
雪@女工@冬天的雪像一位技艺高超的女工	给大地织出了一条厚厚的白毯子。
豆芽@孩子@豆芽像一个顽皮的孩子从豆瓣里钻出来	没过多久就长出了长长的绿头发。
书籍@明灯@书籍是人类的明灯	帮助人们打开黑夜的大门。
校园@雨@校园是雨	滋润我的心田。
时@败仗@海水退潮时，就像打了败仗似的	销声匿迹地退转回去。
生活@灯@生活像一盏灯	时而闪闪发光，时而默默无闻。
智慧@护肤品@智慧是永久的护肤品	让你永葆青春。
眉毛@剑摆@他那黑黑的眉毛像两把剑摆在那里	映着他那深邃的双眼，让他整个人不怒而威。
峰峦@群@连绵起伏的峰峦，像一大群牲口	沉浸在黄澄澄的晓雾里。
拱桥@彩虹@一座精致的拱桥像连接两岸的彩虹	让两边的朋友们团聚了。
犹@巨伞@那棵茂盛的大榕树大的犹如一把巨伞	挺立在大地上。
书@海洋@我爱读书，因为书像一片海洋	我就如同在从中遨游。
叶子@手@含羞草的叶子像我们的手一样	可以张开合上。
胡须@细鱼@小猫嘴边有几根又长又细的胡须，好像几根细鱼骨头似的	傲傲地动着。
牡丹花@孩童@牡丹花左右摇晃，像顽皮的孩童	还招来了许多的蜜蜂和蝴蝶。
羽毛@腹兜@腹部的羽毛正像穿了一个白色的腹兜	背上的羽毛也是巧克力色的，许多白色的小花点缀它那件漂亮的外衣，
骨朵@小米粒@那些含苞的骨朵，大多像一颗颗小米粒似的	香樟树枝丫边，
父爱@阳光@父爱是温暖的阳光	永远那么无私。
心情@云彩@我的心情像坐上了高空中的云彩一样	买喜欢的水彩笔，
万寿菊@小姑娘@万寿菊像一个可爱的小姑娘	羞答答地开放了。
圆溜溜@水钻@小金鱼眼睛圆溜溜，就像个黑色闪闪发光的水钻	黑乎乎的。
睫毛@刷子@长长的睫毛像黑色的小刷子	轻轻扇动着。
母爱@清风@母爱是一阵清风风	吹走乌云，留下阳光。
阅读@种子@阅读，是一颗种子	让知识在我们心间萌芽。
灯光@玛瑙@每家都开着灯，灯光像一串串玛瑙	是那深蓝色的衣服上的一丝色彩。
小鸟@歌唱家@天空中的小鸟像歌唱家	欢快地唱着歌儿。
黄叶@铜钱@一片片黄叶像铜钱	秋天到了，从树上落下来，
浪花@山丘@海浪拍击着海岸溅起一阵阵浪花像一道道起伏的山丘	一个个推着向前。
鱼儿@天使@鱼儿像一个天使一样	自由自在地在水里游。
雨点@珍珠@雨点如珍珠般落下来	砸在屋顶上噼噼啪啪地响。
拉锁@牙齿@每一环拉锁都像小兽的牙齿般细密结实	我不放心地摸索着它，
衣裙@仙女@柳树那翠绿的衣裙似仙女一般翩翩起舞	水街的另一边是一排翠绿的柳树儿，一阵微风吹来，
好@东水@烦恼好像逝去的东水	滔滔不绝。
父爱@河@父爱如河	细长而源源，让我淌不敢涉足。
老师@蜡烛@老师像蜡烛	燃烧自己，给我们照亮前方的路。
姑娘@魔术师@雪姑娘像一个神奇的魔术师	把操场上五颜六色的地砖都变成了银白色。
晚霞@玉盘@晚霞像光洁的玉盘	在云海之中放射它的光芒。
秋天@利剑@秋天像一把利剑	扫除树叶与残花。
冬天@照片@冬天像黑白照片	简单的颜色，丰富的情感。
好@火焰@遥遥望去红彤彤的一片好像一团正在熊熊燃烧的火焰	与秋寒挑战。
回忆@金曲@回忆像怀旧金曲	难忘而深刻。
爱@光芒@爱像玻璃；虽然它能放出耀眼的光芒	真的不曾知道，可是却容易破碎，
谎言@泥潭@谎言是一个深深的泥潭	让人深陷其中无法自拔。
父爱@火@父爱是冬天里的一把火	温暖着我那颗冰冷的心。
霓虹灯@花儿@有的霓虹灯像一朵漂亮的花儿	一会儿张开，一会儿合上。
故乡@诗@我的故乡美得像首诗	令人如痴如醉。
葡萄@珍珠@没有成熟的葡萄又酸有涩，它们像一串串珍珠	成熟的葡萄甜津津的。
荷花@风@荷花开了，摇曳的荷花像起舞的风中仙子	微风吹过。
岩石@苍鹰展@这座亭子矗立在突出的一角的岩石上，仿佛一只苍鹰展开翼翅浮在天宇一般	上下都空空的。
成功@雨@成功是雨	滋润万物大地。
鸟雀@乐师@树林里也热闹起来鸟雀欢快地鸣叫着像一个高明的乐师	往朝霞万里的高空飞旋。
落日@汉子@落日，就如同一个醉酒的汉子	红着脸向山后躺下。
长江@玉带@长江像一条银白的玉带	横亘在中华大地上。
垂柳@婀娜多姿@湖两岸的垂柳果然引人注目，它们就像一位婀娜多姿的美少女	在微风的吹拂下摆动着绿色的连衣裙。
草原@海@草原多么像海啊只是比海寂静；草原多么像一幅没有框子的画	广漠得望不到边际。
话@炮@他说起话来，像炮筒子一样冲	全是火药味儿。
书@动画@书是精彩的动画	让人乐在其中。
时间@叫声@时间是一只狗的叫声	尤如耳边的风。
花朵@矿石@绿叶丛中的花朵是泥土中的矿石	与前者相比后者更加受到人们的青睐。
时间@小偷@时间像一个小偷	悄悄偷走了我们的年华。
高粱@喝醉@高粱就像喝醉了酒似的	随着秋风摆动着身姿。
仿@大海@合作仿如大海	它容纳百川。
大山@巨人@巍峨耸立的大山像屹立的巨人	坚毅稳重。
书@一阵风@书是一阵风	吹散烦恼乌云。
眼泪@珍珠@眼泪像断了线的珍珠似的掉了下来	孙强向门口走了几步，
泪水@河流@泪水像决堤的河流	汹涌而下。
父爱@臭豆腐@父爱像臭豆腐	看起来不好，可香在你心里。
命运@辗转@命运是灵魂里的辗转	历尽沧桑的圆满。
雪花@花瓣@雪花像洁白的花瓣	我太喜欢下雪天了。
苦难@折磨@苦难是心灵最深的折磨	无泪且无法直言苦。
天际@响声@一轮朱红色的太阳接着从天际慢慢地爬上来，就好像发出了大的响声	它一摇动。
思念@心@思念是一颗心	只有用心来感受你。
溪水@小鹿@潺潺的溪水像一只欢快的小鹿	跳跃着在山间的岩石间流淌着。
伙伴@电扇@伙伴是炎热夏天里的电扇	吹凉你全身。
爱@地心@爱像地心引力无法抗拒	一寸一寸深深地被你吸引。
爱心@花朵@爱心是一朵绽放在春日的花朵	使失落忧愁的人感到由衷的快乐。
家@门@家是一扇门	有了门就不再害怕坏人到我们家来。
蜡烛@路@蜡烛默默地哭泣着，燃烧的蜡烛像一只小小的火矩照亮了前方的路	但是在黑暗中。
眼泪@泉水@眼泪是心灵的泉水	是心灵受到碰撞的回音。
人生@乐曲@如果说人生是一首优美的乐曲	那么痛苦则是其中一个不可缺少的音符。
天鹅游@公主@一群天鹅游在水里，像动物世界的公主	或者亭亭地立着。
生活@圈@生活像一个圈	有人走不出去，有人进不来。
嘴@香蕉@玲玲笑弯了嘴，活像一支大香蕉	两头翘起角儿。
秋天@大姐姐@秋天像一位和蔼可亲的大姐姐	它满载着收获，向我们报喜。
爱心@甘泉@爱心，像一股甘泉	滋润着人们的心田。
稻田@黄衣@秋天的稻田像一个个黄衣少女	婀娜多姿，翩翩起舞。
父爱@星@父爱是蓝天中最闪耀的星	让我永远不会迷失方向。
圆柱@大佛@小亭子的最上面有个圆柱，就像一蹲大佛坐在亭子顶上背诗经	它是棕色的。
父母@夹心糖@父母的爱像一块夹心糖	外表是硬的，内心确是软的。
它@仙子@它就像一位亭亭玉立的仙子	披着长头发，低头含笑。
春天@歌@春天像一首歌	激情澎湃如大海的滚滚浪花。
荷叶@个@碧绿的荷叶像个大玉盘衬托着荷花	美丽绝伦。
父爱@灯@父爱如灯	照亮前行的路。
生命@餐厅@生命有如自助餐厅	没有侍者帮忙，要怎样的菜自己选。
生活@团雾@生活像一团雾	暂时走不出迷雾的你可能会很迷茫。
军官@野狗@炕沿上坐着的那个鬼子军官，好像刚吃过死人的野狗	两眼红红的。
黄花@宝石@花生那小小的黄花，如镶嵌着粒粒金灿灿的宝石	疏密有致地洒在椭圆形叶片中。
老师@老师@老师像什么？老师像园丁	把幼小的我们培育成一个懂得知识的大数。
母亲@启@母亲如同天边的启明星	总是早早地起来忙碌。
梨花@丝带@盛开的梨花，就如一条条白色的丝带	在风中招展。
诚实@歌@诚实像一首深情的歌	婉转悠扬，轻吟浅唱。
烦恼@乱麻@烦恼像是一团乱麻	理也理不清。
父亲@凉风@父亲的爱，是夏日里的一丝凉风	吹散了我心中的烦热。
童年@白云@童年像一朵朵洁白无暇的美丽的白云	带领了每个想飞的孩子的知识。
天空@黑布@星星点缀天空，像黑布上洒上了白色粉末	夜了，
天气@个@天气太热了，像个大火炉一样	蒸烤着我们。
友情@灯@友情是灯	让黑暗中的人感到光明。
秋天@渔船@秋天像出海归来的渔船	满载人们的欣喜。
读书@梯子@读书是一架梯子	他能引导我们登上知识的殿堂。
勤奋@光@勤奋是光	照亮黑暗的街。
火@歌谣@火是一首飘荡在夜空的歌谣	使孤苦无依的人获得心灵的慰藉。
太阳@盘子@初升的太阳像一个圆圆的盘子	慢慢浮现出地平面。
春天@青年@春天就像健壮的青年	充满朝气。
声@马蹄声@浪潮声似脱缰的野马奔驰而来的马蹄声	气势雄伟。
春天@法师@春天像一个法师	它给了太阳火热的力量，与冷酷的冬天决战到底。
姿势@夫人@长颈鹿走路的姿势像一个高贵的夫人	优雅地走到了一棵树前，吐出了它那乌黑的舌头来吃它最喜爱的树叶。
秋风@蝴蝶@一整秋风吹来，好像一只只在风中翩翩起舞的金蝴蝶	许多金色的叶子落了下来。
月亮@少女@月亮像位亭亭玉立的少女一样	站立在地毯上。
好象@天空@天上的云从西边一直烧到东边，好象是天空着了火	红彤彤的。
春笋@士兵@春笋像一个个士兵	严阵待待，严正有序。
漩涡@仙女@冬天的风旋起一个个的漩涡，真像无数的仙女下凡	卷起地上的雪。
河流@孩子@春天的河流像睡醒的孩子	欢快的流淌着。
童年@调色盘@童年如个调色盘	五彩缤纷。
家@小岛@家是一片海洋的小岛	使疲惫不堪的人找到歇脚的地方。
红果@灯笼@山楂树上结满了红果，像一个个的小灯笼	高高挂起。
躁劲@脑子@这股烦躁劲呀，像脑子里有千军万马在闹腾	他躺在床上看着天花板，
童年@鸡尾酒@童年就像鸡尾酒	色彩斑斓，甜美之味令人回味。
微笑@茉莉@微笑像花开的茉莉	让我时刻感受她那悠远绵长的清香。
西红柿@娃娃@菜园里熟透的西红柿，像一个个胖娃娃	安详的睡在母亲的怀里。
绿@碧玉@绿得像一块碧玉	正前面，
感动@清流@感动是一湾清流	洗涤疲惫污垢的心灵。
成功@双刃剑@成功是一把双刃剑	帮你消怯对方的傲慢。
记忆@星空@记忆是一片星空	各种各样的记忆星星在这里散发着金色的光芒。
地球@水珠@地球如一颗变幻莫测的水珠	层层蓝白色溶解于其中。
太阳@妈妈@太阳高高的挂在天上，像妈妈一样	用亲切的眼神看着地上的小草。
杨柳@姑娘@河边依依的杨柳好像一位温顺的长发姑娘	将满头青丝洒向水面，平静如镜的河面泛起了一道微波。
抚弄@精灵@樱花在微风的的抚弄下缓缓地飘下来，好像一个个粉红色的精灵在空中旋转	飘下蓝蓝的河中、草地上。
爱@上帝@爱像上帝	很多人相信它，但是没有人见过。
太阳@新娘@太阳升起来了，像个害羞的新娘	露出了红红的脸蛋。
爸爸@火@爸爸如火	点燃希望的灯。
家@船@家是一只船	它带给人们的感受是“温暖”。
雪花@小精灵@雪花，像一个个可爱的小精灵	在云端漫步着、飞舞着。
尾巴@喇叭裙@小尾巴像一条美丽的喇叭裙	金鱼肚子都是鼓鼓的，
